"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"360",678,2020-04-28,2020-05-26,"Não","Não","Sem mérito"
"361",679,2020-05-04,2020-06-01,"Não","Não","Sem mérito"
"362",680,2020-05-06,2025-03-25,"Não","Não","Sem mérito"
"363",681,2020-05-07,2022-04-01,"Não","Não","Prejudicado"
"364",682,2020-05-08,2020-06-16,"Não","Não","Sem mérito"
"365",683,2020-05-11,2022-03-30,"Não","Não","Prejudicado"
"366",684,2020-05-13,2024-03-18,"Não","Não","Sem mérito"
"367",685,2020-05-27,2021-04-14,"Não","Não","Sem mérito"
"368",686,2020-05-27,2021-11-11,"Não","Não","Sem mérito"
"369",687,2020-05-27,2020-08-17,"Não","Não","Sem mérito"
"370",688,2020-06-03,2021-02-03,"Não","Não","Sem mérito"
"371",689,2020-06-08,2020-08-23,"Não","Não","Sem mérito"
"372",690,2020-06-08,2021-04-28,"Não","Não","Procedente em parte"
"373",691,2020-06-09,2021-04-28,"Não","Não","Procedente em parte"
"374",692,2020-06-09,2021-04-28,"Não","Não","Procedente em parte"
"375",693,2020-06-12,2022-03-28,"Sim","Não","Sem mérito"
"376",694,2020-06-16,2021-10-19,"Não","Não","Sem mérito"
"377",695,2020-06-16,2023-06-30,"Não","Não","Procedente em parte"
"378",696,2020-06-16,2021-08-06,"Não","Não","Sem mérito"
"379",697,2020-06-18,2021-08-25,"Não","Não","Sem mérito"
"380",698,2020-06-19,2020-08-21,"Não","Não","Prejudicado"
"381",699,2020-06-19,2020-08-24,"Não","Não","Prejudicado"
"382",700,2020-06-19,2020-08-21,"Não","Não","Prejudicado"
"383",701,2020-06-22,2022-11-23,"Não","Não","Prejudicado"
"384",702,2020-06-22,2022-11-23,"Não","Não","Prejudicado"
"385",703,2020-06-22,2021-03-11,"Não","Não","Sem mérito"
"386",704,2020-06-23,2021-09-22,"Sim","Não","Sem mérito"
"387",705,2020-06-24,2021-08-20,"Não","Não","Sem mérito"
"388",706,2020-06-30,2022-04-06,"Não","Não","Procedente"
"389",707,2020-06-30,2023-03-10,"Não","Não","Prejudicado"
"390",708,2020-06-30,2023-06-19,"Não","Não","Procedente"
"391",709,2020-07-01,NA,"Não","Sim","Sem julgamento"
"392",710,2020-07-01,2021-08-18,"Não","Não","Sem mérito"
"393",711,2020-07-02,2020-12-15,"Não","Não","Sem mérito"
"394",712,2020-07-02,2023-08-10,"Não","Não","Sem mérito"
"395",713,2020-07-07,2022-04-06,"Não","Não","Procedente"
